Node,forT,P,Q
1330,92,0.3030570202,0.0000000000
1331,89,152.7507506406,0.0000000000
1331,90,158.1488689923,0.0000000000
1331,91,159.7787667353,0.0000000000
1331,92,142.9884595870,0.0000000000
1332,89,-0.1846003608,0.0000000000
1332,90,-0.1852894406,0.0000000000
1332,91,-0.1827227092,0.0000000000
1332,92,-0.1767324808,0.0000000000
1333,89,-11.4165486809,0.0000000000
1333,90,-11.4043189994,0.0000000000
1333,91,-11.3841412007,0.0000000000
1333,92,-11.3658627010,0.0000000000
1334,89,-0.1031208198,0.0000000000
1334,90,-0.0941177476,0.0000000000
1334,91,-0.0918621228,0.0000000000
1334,92,-0.0891948472,0.0000000000
1335,89,-0.0631618218,0.0000000000
1335,90,-0.0604834941,0.0000000000
1335,91,-0.0576429850,0.0000000000
1335,92,-0.0545793405,0.0000000000
1336,89,-0.0291882317,0.0000000000
1336,90,-0.0287848090,0.0000000000
1336,91,-0.0281928211,0.0000000000
1336,92,-0.0274121082,0.0000000000
1337,89,-0.0277351229,0.0000000000
1337,90,-0.0271284357,0.0000000000
1337,91,-0.0266295255,0.0000000000
1337,92,-0.0263236378,0.0000000000
1338,89,0.0000000000,0.0000000000
1338,90,25.7328440000,0.0000000000
1338,91,73.6812834279,0.0000000000
1338,92,145.9903450568,0.0000000000
1339,89,0.0000000000,0.0000000000
1339,90,0.0000000000,0.0000000000
1339,91,0.0000000000,0.0000000000
1339,92,0.0000000000,0.0000000000
1340,89,0.0000000000,0.0000000000
1340,90,0.0000000000,0.0000000000
1340,91,0.0000000000,0.0000000000
1340,92,0.0000000000,0.0000000000
2007,89,153.3473490594,0.0000000000
2007,90,158.7182072164,0.0000000000
2007,91,160.3233749809,0.0000000000
2007,92,143.5082861379,0.0000000000
2008,89,0.0000000000,0.0000000000
2008,90,0.0000000000,0.0000000000
2008,91,0.0000000000,0.0000000000
2008,92,0.0000000000,0.0000000000
2009,89,-2.5252686423,0.0000000000
2009,90,-2.5252686423,0.0000000000
2009,91,-2.5252686423,0.0000000000
2009,92,-2.5252686423,0.0000000000
2010,89,0.0000000000,0.0000000000
2010,90,0.0000000000,0.0000000000
2010,91,0.0000000000,0.0000000000
2010,92,0.0000000000,0.0000000000
21920000,89,-54.4395714034,-31.4561444120
21920000,90,-53.5047427754,-30.8217790460
21920000,91,-52.6252246493,-30.1874136801
21920000,92,-53.1947004305,-29.5530483142
21950000,89,-0.0445450211,0.0000000000
21950000,90,-0.0434545984,0.0000000000
21950000,91,-0.0419184770,0.0000000000
21950000,92,-0.0407956112,0.0000000000
21950001,89,-0.0004166667,0.0000000000
21950001,90,-0.0004166667,0.0000000000
21950001,91,-0.0004166667,0.0000000000
21950001,92,-0.0004166667,0.0000000000
21950002,89,-0.1651511017,-0.0535439197
21950002,90,-0.1618585991,-0.0524611747
21950002,91,-0.1585663394,-0.0513784297
21950002,92,-0.1552742820,-0.0502956847
21950003,89,-0.0031918772,0.0000000000
21950003,90,-0.0030822225,0.0000000000
21950003,91,-0.0030841440,0.0000000000
21950003,92,-0.0030862678,0.0000000000
21950004,89,-0.0043507652,0.0000000000
21950004,90,-0.0043537276,0.0000000000
21950004,91,-0.0043571119,0.0000000000
21950004,92,-0.0043608474,0.0000000000
21950005,89,-0.0843940976,-0.0267719598
21950005,90,-0.0827481485,-0.0262305873
21950005,91,-0.0811023724,-0.0256892148
21950005,92,-0.0794567445,-0.0251478424
21950006,89,-0.0824512636,-0.0267719598
21950006,90,-0.0806381883,-0.0262305873
21950006,91,-0.0789910977,-0.0256892148
21950006,92,-0.0773440071,-0.0251478424
21950007,89,-0.0056607414,0.0000000000
21950007,90,-0.0056653345,0.0000000000
21950007,91,-0.0056705014,0.0000000000
21950007,92,-0.0056761356,0.0000000000
21950008,89,-0.0814519456,-0.0267719598
21950008,90,-0.0798048550,-0.0262305873
21950008,91,-0.0781577644,-0.0256892148
21950008,92,-0.0765106738,-0.0251478424
21950009,89,-0.0017651373,0.0000000000
21950009,90,-0.0018326513,0.0000000000
21950009,91,-0.0016666667,0.0000000000
21950009,92,-0.0016666667,0.0000000000
21950010,89,-0.0004166667,0.0000000000
21950010,90,-0.0004166667,0.0000000000
21950010,91,-0.0004166667,0.0000000000
21950010,92,-0.0004166667,0.0000000000
21950011,89,-0.0011246667,0.0000000000
21950011,90,-0.0009260000,0.0000000000
21950011,91,-0.0004166667,0.0000000000
21950011,92,-0.0004166667,0.0000000000
21950012,89,-0.0835897972,-0.0267719598
21950012,90,-0.0819441382,-0.0262305873
21950012,91,-0.0802986616,-0.0256892148
21950012,92,-0.0786533331,-0.0251478424
21950013,89,-0.0041836497,0.0000000000
21950013,90,-0.0041871932,0.0000000000
21950013,91,-0.0041911757,0.0000000000
21950013,92,-0.0041955112,0.0000000000
21950014,89,-0.0026423413,0.0000000000
21950014,90,-0.0026442464,0.0000000000
21950014,91,-0.0026463892,0.0000000000
21950014,92,-0.0026487223,0.0000000000
21950015,89,-0.0822852789,-0.0267719598
21950015,90,-0.0806381883,-0.0262305873
21950015,91,-0.0789910977,-0.0256892148
21950015,92,-0.0773440071,-0.0251478424
21950016,89,-0.0008333333,0.0000000000
21950016,90,-0.0036013333,0.0000000000
21950016,91,-0.0019153333,0.0000000000
21950016,92,-0.0008386667,0.0000000000
21950017,89,-0.0831438894,-0.0267719598
21950017,90,-0.0814978389,-0.0262305873
21950017,91,-0.0798519513,-0.0256892148
21950017,92,-0.0782062065,-0.0251478424
21950018,89,-0.0036721498,0.0000000000
21950018,90,-0.0032604931,0.0000000000
21950018,91,-0.0036357436,0.0000000000
21950018,92,-0.0036245275,0.0000000000
21950019,89,-0.0046690080,0.0000000000
21950019,90,-0.0043109131,0.0000000000
21950019,91,-0.0043130558,0.0000000000
21950019,92,-0.0043153890,0.0000000000
21950020,89,-0.0838551299,-0.0267719598
21950020,90,-0.0822095223,-0.0262305873
21950020,91,-0.0805641277,-0.0256892148
